0.0000000	 0.0000000e+00	 1.0000000e+00
0.1000000	 1.4260868e-01	 1.8462239e+00
0.2000000	 3.6774922e-01	 2.6476171e+00
0.3000000	 6.7005247e-01	 3.3866703e+00
0.4000000	 1.0424683e+00	 4.0473356e+00
0.5000000	 1.4764297e+00	 4.6153744e+00
0.6000000	 1.9620489e+00	 5.0786637e+00
0.7000000	 2.4883429e+00	 5.4274545e+00
0.8000000	 3.0434811e+00	 5.6545757e+00
0.9000000	 3.6150511e+00	 5.7555805e+00
1.0000000	 4.1903356e+00	 5.7288322e+00
1.1000000	 4.7565958e+00	 5.5755269e+00
1.2000000	 5.3013524e+00	 5.2996536e+00
1.3000000	 5.8126608e+00	 4.9078928e+00
1.4000000	 6.2793725e+00	 4.4094560e+00
1.5000000	 6.6913781e+00	 3.8158702e+00
1.6000000	 7.0398256e+00	 3.1407116e+00
1.7000000	 7.3173103e+00	 2.3992965e+00
1.8000000	 7.5180321e+00	 1.6083335e+00
1.9000000	 7.6379156e+00	 7.8554782e-01
2.0000000	 7.6746922e+00	 -5.0715315e-02
2.1000000	 7.6279420e+00	 -8.8189959e-01
2.2000000	 7.4990941e+00	 -1.6896488e+00
2.3000000	 7.2913863e+00	 -2.4562118e+00
2.4000000	 7.0097847e+00	 -3.1648322e+00
2.5000000	 6.6608663e+00	 -3.8001142e+00
2.6000000	 6.2526654e+00	 -4.3483568e+00
2.7000000	 5.7944892e+00	 -4.7978483e+00
2.8000000	 5.2967059e+00	 -5.1391163e+00
2.9000000	 4.7705107e+00	 -5.3651263e+00
